	ath	vvi
OG0000018	AT2G21730, AT2G21890, AT4G37970, AT4G37980, AT4G37990	GSVIVG01002105001, GSVIVG01002106001, GSVIVG01002109001, GSVIVG01003944001, GSVIVG01004508001, GSVIVG01006303001, GSVIVG01006306001, GSVIVG01006308001, GSVIVG01006310001, GSVIVG01006458001, GSVIVG01006462001, GSVIVG01013448001, GSVIVG01026629001, GSVIVG01026631001
OG0000019		GSVIVG01000062001, GSVIVG01000063001, GSVIVG01000066001, GSVIVG01000067001, GSVIVG01000068001, GSVIVG01000070001, GSVIVG01000071001, GSVIVG01000095001, GSVIVG01000097001, GSVIVG01000098001, GSVIVG01000100001, GSVIVG01000101001, GSVIVG01000102001, GSVIVG01000103001, GSVIVG01030968001, GSVIVG01031079001, GSVIVG01031080001, GSVIVG01031082001, GSVIVG01031085001
OG0000020	AT1G15790	GSVIVG01001754001, GSVIVG01001758001, GSVIVG01001880001, GSVIVG01003580001, GSVIVG01003889001, GSVIVG01004878001, GSVIVG01004884001, GSVIVG01004895001, GSVIVG01005290001, GSVIVG01012457001, GSVIVG01012462001, GSVIVG01012463001, GSVIVG01012467001, GSVIVG01012469001, GSVIVG01026685001, GSVIVG01034315001
OG0000021	AT4G34810, AT4G38840	GSVIVG01009875001, GSVIVG01019092001, GSVIVG01019093001, GSVIVG01019095001, GSVIVG01019096001, GSVIVG01019097001, GSVIVG01019099001, GSVIVG01019101001, GSVIVG01019105001, GSVIVG01019106001, GSVIVG01024120001, GSVIVG01024127001, GSVIVG01024131001, GSVIVG01024134001, GSVIVG01024136001
OG0000022	AT2G26560, AT4G37060, AT4G37070	GSVIVG01009531001, GSVIVG01009533001, GSVIVG01009537001, GSVIVG01009539001, GSVIVG01009543001, GSVIVG01009544001, GSVIVG01009546001, GSVIVG01009547001, GSVIVG01009549001, GSVIVG01009551001, GSVIVG01022149001, GSVIVG01022150001, GSVIVG01022152001
OG0000023	AT2G37040, AT3G10340, AT3G53260, AT5G04230	GSVIVG01016257001, GSVIVG01024292001, GSVIVG01024293001, GSVIVG01024294001, GSVIVG01024295001, GSVIVG01024299001, GSVIVG01024303001, GSVIVG01024305001, GSVIVG01024306001, GSVIVG01024315001, GSVIVG01025214001, GSVIVG01025703001
OG0000024	AT5G66890, AT5G66900, AT5G66910	GSVIVG01003555001, GSVIVG01003562001, GSVIVG01003563001, GSVIVG01003565001, GSVIVG01003566001, GSVIVG01003571001, GSVIVG01003572001, GSVIVG01007143001, GSVIVG01007144001, GSVIVG01007146001, GSVIVG01034428001, GSVIVG01034429001, GSVIVG01034432001
OG0000025	AT1G20560, AT1G21530, AT1G21540, AT1G65880, AT1G65890, AT1G66120, AT1G75960, AT1G76290, AT1G77240, AT2G17650, AT5G16340, AT5G16370	GSVIVG01003829001, GSVIVG01033207001, GSVIVG01033214001
OG0000026	AT1G07660, AT1G07820, AT2G28740, AT3G45930, AT3G46320, AT3G53730, AT5G59690, AT5G59970	GSVIVG01016577001, GSVIVG01016578001, GSVIVG01025005001, GSVIVG01025063001, GSVIVG01032631001, GSVIVG01034208001
OG0000027	AT1G10920, AT1G53350, AT1G58390, AT1G58400, AT1G58410, AT1G58602, AT1G58807, AT1G58848, AT1G59124, AT1G59218, AT1G59780, AT5G35450, AT5G43470, AT5G48620	
OG0000028	AT1G16110, AT1G16120, AT1G16130, AT1G16150, AT1G16160, AT1G16260, AT1G17910, AT1G19390, AT1G69730, AT1G79670, AT1G79680, AT4G31100, AT4G31110	GSVIVG01008432001
OG0000029	AT1G29420, AT1G29430, AT1G29440, AT1G29450, AT1G29460, AT1G29490, AT1G29500, AT1G29510, AT5G27780	GSVIVG01023880001, GSVIVG01023909001, GSVIVG01023911001, GSVIVG01023912001, GSVIVG01023915001
OG0000030	AT1G47620, AT1G57750, AT1G65340, AT2G21910, AT2G23180, AT4G32170, AT4G39480, AT4G39490, AT4G39500, AT4G39510, AT5G02900, AT5G52320	GSVIVG01030870001, GSVIVG01030871001
OG0000031	AT1G50580, AT1G64910, AT1G64920, AT2G22930, AT3G29630, AT4G09500, AT4G27560, AT4G27570, AT5G53990, AT5G54010	GSVIVG01014265001, GSVIVG01014267001, GSVIVG01014269001, GSVIVG01014270001
OG0000032	AT2G17680, AT4G35690, AT4G35710	GSVIVG01002913001, GSVIVG01004309001, GSVIVG01004310001, GSVIVG01006119001, GSVIVG01007246001, GSVIVG01023923001, GSVIVG01023924001, GSVIVG01023925001, GSVIVG01023927001, GSVIVG01023928001, GSVIVG01023929001
OG0000033	AT2G21200, AT3G03820, AT3G03830, AT3G03840, AT3G03850, AT4G13790, AT4G38825, AT4G38850, AT5G18010, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080	
OG0000034	AT2G29100, AT2G29110, AT2G29120	GSVIVG01033121001, GSVIVG01033127001, GSVIVG01033129001, GSVIVG01033131001, GSVIVG01033137001, GSVIVG01033142001, GSVIVG01033150001, GSVIVG01033151001, GSVIVG01033156001, GSVIVG01033160001, GSVIVG01033163001
OG0000035	AT3G21750, AT3G21760, AT3G21780, AT3G21790, AT3G21800, AT4G15260, AT4G15270, AT4G15280	GSVIVG01023005001, GSVIVG01023084001, GSVIVG01023095001, GSVIVG01029658001, GSVIVG01029671001, GSVIVG01029680001
OG0000036	AT1G17150, AT1G43080, AT1G43090, AT1G43100, AT1G78400, AT2G15450, AT2G15460, AT2G15470, AT2G26620, AT2G33160, AT2G40310, AT4G13760	GSVIVG01012232001
OG0000037	AT1G23130, AT1G35260, AT1G35310, AT1G70830, AT1G70840, AT1G70850, AT1G70880, AT1G70890, AT5G28000, AT5G28010	GSVIVG01011716001, GSVIVG01011718001, GSVIVG01011719001
OG0000038	AT1G34490, AT1G34500, AT1G34520, AT5G51420, AT5G55320, AT5G55330, AT5G55340, AT5G55350, AT5G55360, AT5G55370, AT5G55380	GSVIVG01037746001, GSVIVG01037748001
OG0000039	AT1G56380, AT1G61960, AT1G61970, AT1G61980, AT1G61990, AT1G62010, AT1G62085, AT1G62110, AT1G62120, AT1G62150, AT1G62490, AT3G46950, AT5G23930	
OG0000040	AT1G66910, AT1G66920, AT1G66930, AT1G67000, AT5G38240, AT5G38250, AT5G38260, AT5G39020, AT5G39030	GSVIVG01008328001, GSVIVG01011854001, GSVIVG01030995001, GSVIVG01038718001
OG0000041	AT2G17060, AT3G51570, AT4G12010, AT4G19470, AT4G19510, AT4G19530, AT4G36150, AT5G17880, AT5G44870, AT5G45060, AT5G45200, AT5G45230, AT5G45250	
OG0000042	AT2G20170, AT4G23350, AT4G23355, AT4G23360, AT4G23365, AT4G23370, AT4G23373, AT4G23380, AT4G23390	GSVIVG01026923001, GSVIVG01026924001, GSVIVG01026925001, GSVIVG01026932001
OG0000043	AT4G21366	GSVIVG01000429001, GSVIVG01002513001, GSVIVG01004598001, GSVIVG01006512001, GSVIVG01006743001, GSVIVG01007342001, GSVIVG01012617001, GSVIVG01014496001, GSVIVG01014506001, GSVIVG01014517001, GSVIVG01015794001, GSVIVG01015795001
OG0000044	AT1G07090, AT1G16910, AT1G78815, AT2G31160, AT2G42610, AT3G04510, AT3G23290, AT5G28490, AT5G58500	GSVIVG01020708001, GSVIVG01021215001, GSVIVG01021754001
OG0000045	AT1G07790, AT2G28720, AT2G37470, AT3G09480, AT3G45980, AT3G46030, AT3G53650, AT5G02570, AT5G59910	GSVIVG01025021001, GSVIVG01025023001, GSVIVG01025025001
OG0000046	AT1G20860, AT1G76430, AT2G32830, AT2G38940, AT3G54700, AT5G43340, AT5G43350, AT5G43360, AT5G43370	GSVIVG01013421001, GSVIVG01028321001, GSVIVG01032651001
OG0000047	AT1G28570, AT1G28580, AT1G28590, AT1G28600, AT1G28610, AT1G28640, AT1G28650, AT1G28660, AT1G28670, AT1G31550, AT2G27360	GSVIVG01021186001
OG0000048	AT1G49360, AT1G57790, AT2G44735, AT3G18720, AT3G56470, AT4G00893, AT4G10660, AT4G10695, AT4G10700, AT4G12370, AT4G12382	GSVIVG01001831001
OG0000049	AT1G52660, AT3G15700	GSVIVG01017016001, GSVIVG01017017001, GSVIVG01017020001, GSVIVG01017023001, GSVIVG01017026001, GSVIVG01017136001, GSVIVG01017146001, GSVIVG01020278001, GSVIVG01025877001, GSVIVG01034252001
OG0000050	AT1G67520, AT3G16030	GSVIVG01014478001, GSVIVG01014482001, GSVIVG01014484001, GSVIVG01014485001, GSVIVG01014490001, GSVIVG01014491001, GSVIVG01014492001, GSVIVG01014497001, GSVIVG01014933001, GSVIVG01034406001
OG0000051	AT2G22121, AT4G29273, AT4G29280, AT4G29283, AT4G29285, AT4G29290, AT4G29300, AT4G29305, AT5G47175, AT5G48905	GSVIVG01001774001, GSVIVG01004335001
OG0000052	AT2G29150, AT2G29170, AT2G29360, AT2G29370	GSVIVG01024878001, GSVIVG01024879001, GSVIVG01024881001, GSVIVG01024883001, GSVIVG01024885001, GSVIVG01024892001, GSVIVG01024893001, GSVIVG01024894001
OG0000053	AT3G46840, AT3G46850, AT5G58830, AT5G58840, AT5G59090, AT5G59100, AT5G59120	GSVIVG01024857001, GSVIVG01024859001, GSVIVG01024948001, GSVIVG01037483001, GSVIVG01037485001
OG0000054	AT3G52530, AT3G57700, AT3G57710, AT3G57720, AT3G57730, AT3G57740, AT3G57750, AT3G57760, AT3G57770	GSVIVG01036295001, GSVIVG01036297001, GSVIVG01036299001
OG0000055	AT5G14930	GSVIVG01032530001, GSVIVG01032531001, GSVIVG01032532001, GSVIVG01032533001, GSVIVG01032534001, GSVIVG01032535001, GSVIVG01032536001, GSVIVG01035081001, GSVIVG01035083001, GSVIVG01035085001, GSVIVG01035088001
OG0000056	AT5G36110, AT5G36130, AT5G36140	GSVIVG01019183001, GSVIVG01025953001, GSVIVG01025974001, GSVIVG01025975001, GSVIVG01032218001, GSVIVG01032230001, GSVIVG01032283001, GSVIVG01034532001, GSVIVG01035577001
OG0000057	AT5G51190	GSVIVG01013905001, GSVIVG01013913001, GSVIVG01013914001, GSVIVG01013916001, GSVIVG01013917001, GSVIVG01013918001, GSVIVG01013923001, GSVIVG01013924001, GSVIVG01013929001, GSVIVG01013931001, GSVIVG01013935001
OG0000058	AT1G11510, AT1G44810, AT1G61730, AT1G66420, AT2G01370, AT4G00238, AT4G00250, AT4G00390, AT4G00610	GSVIVG01002745001, GSVIVG01002959001
OG0000059	AT1G13470, AT1G13480, AT1G13490, AT1G13500, AT1G13510, AT1G13520, AT1G13530, AT1G13540, AT1G13550	GSVIVG01012025001, GSVIVG01012026001
OG0000060	AT1G14480, AT1G14500, AT4G10720, AT5G15500, AT5G54610, AT5G54620	GSVIVG01015126001, GSVIVG01015132001, GSVIVG01015141001, GSVIVG01037385001, GSVIVG01037387001
OG0000061	AT1G15520	GSVIVG01017184001, GSVIVG01017185001, GSVIVG01017187001, GSVIVG01017188001, GSVIVG01017198001, GSVIVG01017201001, GSVIVG01017202001, GSVIVG01017204001, GSVIVG01035780001, GSVIVG01035784001
OG0000062	AT1G20010, AT1G75780, AT2G29550, AT4G20890, AT5G12250, AT5G23860, AT5G44340, AT5G62690, AT5G62700	GSVIVG01019758001, GSVIVG01028941001
OG0000063	AT1G21210, AT1G21230, AT1G21240, AT1G21250, AT1G21270, AT1G22720, AT3G25490	GSVIVG01008466001, GSVIVG01008780001, GSVIVG01026123001, GSVIVG01026125001
OG0000064	AT1G25270, AT1G68170	GSVIVG01026595001, GSVIVG01026597001, GSVIVG01026599001, GSVIVG01026601001, GSVIVG01026602001, GSVIVG01026605001, GSVIVG01026606001, GSVIVG01026607001, GSVIVG01026608001
OG0000065	AT1G26320, AT3G03080, AT5G16960, AT5G16970, AT5G16990, AT5G37940, AT5G37980	GSVIVG01038223001, GSVIVG01038224001, GSVIVG01038225001, GSVIVG01038226001
OG0000066	AT1G32940, AT1G32950, AT1G32960, AT4G10510, AT4G10520, AT4G10530, AT4G10540, AT4G10550	GSVIVG01038620001, GSVIVG01038641001, GSVIVG01038642001
OG0000067	AT1G35710, AT4G08850	GSVIVG01022823001, GSVIVG01023665001, GSVIVG01023666001, GSVIVG01023677001, GSVIVG01023681001, GSVIVG01036637001, GSVIVG01036639001, GSVIVG01038764001, GSVIVG01038768001
OG0000068	AT1G47695, AT1G47915, AT2G39415, AT2G39490, AT3G43415	GSVIVG01016605001, GSVIVG01016606001, GSVIVG01016608001, GSVIVG01016609001, GSVIVG01016613001, GSVIVG01025608001
OG0000069	AT1G49610, AT1G57690, AT3G03360, AT3G28410, AT5G02700, AT5G02910, AT5G02920, AT5G02930, AT5G03100	GSVIVG01003198001, GSVIVG01003200001
OG0000070	AT2G05260, AT4G10955, AT5G24180, AT5G24200, AT5G24210, AT5G24220, AT5G24230	GSVIVG01019548001, GSVIVG01038695001, GSVIVG01038696001, GSVIVG01038697001
OG0000071	AT2G15042, AT2G15080, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G23120, AT3G28890, AT4G13880, AT5G25910, AT5G27060	
OG0000072	AT2G41850, AT3G07970, AT3G57510	GSVIVG01032114001, GSVIVG01032117001, GSVIVG01032118001, GSVIVG01033303001, GSVIVG01033359001, GSVIVG01033360001, GSVIVG01033362001, GSVIVG01033364001
OG0000073	AT3G07820, AT3G07830, AT3G07840, AT5G48140	GSVIVG01020791001, GSVIVG01020792001, GSVIVG01020794001, GSVIVG01030017001, GSVIVG01030018001, GSVIVG01030023001, GSVIVG01030030001
OG0000074	AT3G28510, AT3G28520, AT3G28540, AT3G28580, AT3G28610, AT5G40000, AT5G40010	GSVIVG01032553001, GSVIVG01032554001, GSVIVG01032557001, GSVIVG01032589001
OG0000075	AT5G08350, AT5G23350, AT5G23360, AT5G23370	GSVIVG01019134001, GSVIVG01019136001, GSVIVG01034396001, GSVIVG01034399001, GSVIVG01034410001, GSVIVG01034412001, GSVIVG01037829001
OG0000076		GSVIVG01000866001, GSVIVG01005143001, GSVIVG01006109001, GSVIVG01007627001, GSVIVG01008009001, GSVIVG01013610001, GSVIVG01014009001, GSVIVG01020196001, GSVIVG01022666001, GSVIVG01026840001, GSVIVG01027893001
OG0000077	AT1G03400, AT1G03410, AT1G06620, AT2G30830, AT3G61400, AT5G59530, AT5G59540	GSVIVG01027734001, GSVIVG01027739001, GSVIVG01027744001
OG0000078	AT1G07390, AT1G58190, AT1G74170, AT1G74180, AT1G74190, AT2G25470, AT3G53240, AT5G49290	GSVIVG01012819001, GSVIVG01016019001
OG0000079	AT1G08920, AT1G08930	GSVIVG01022024001, GSVIVG01022026001, GSVIVG01022030001, GSVIVG01022031001, GSVIVG01022032001, GSVIVG01022033001, GSVIVG01022034001, GSVIVG01022035001
OG0000080	AT1G10190, AT2G24950, AT4G10210, AT4G10220, AT4G15050, AT4G15053, AT4G15056, AT4G23080	GSVIVG01019797001, GSVIVG01019801001
OG0000081	AT1G14080, AT1G14100, AT1G14110, AT2G03210, AT2G03220, AT2G15350, AT2G15370, AT2G15390	GSVIVG01003228001, GSVIVG01007978001
OG0000082	AT1G19190, AT1G49640, AT1G49650, AT1G49660, AT2G03550, AT3G48690, AT3G48700	GSVIVG01031769001, GSVIVG01031770001, GSVIVG01031772001
OG0000083	AT1G56650, AT1G66370, AT1G66380, AT1G66390	GSVIVG01022654001, GSVIVG01022656001, GSVIVG01022657001, GSVIVG01022659001, GSVIVG01022661001, GSVIVG01022664001
OG0000084	AT1G66540, AT2G23190, AT2G23220, AT3G28740, AT4G37320, AT4G37330, AT4G37340, AT4G37360, AT4G37370, AT5G36220	
OG0000085	AT1G76680, AT1G76690	GSVIVG01013386001, GSVIVG01013387001, GSVIVG01025923001, GSVIVG01025924001, GSVIVG01025925001, GSVIVG01025926001, GSVIVG01025929001, GSVIVG01025930001
OG0000086	AT2G16850, AT2G37170, AT2G37180, AT3G53420, AT3G54820, AT4G35100, AT5G60660	GSVIVG01016276001, GSVIVG01024010001, GSVIVG01025188001
OG0000087	AT2G17740, AT2G27660, AT2G28270, AT2G44370, AT2G44380, AT2G44390, AT5G40590, AT5G43520	GSVIVG01025366001, GSVIVG01033572001
OG0000088	AT3G54000, AT5G59050	GSVIVG01002073001, GSVIVG01007626001, GSVIVG01012944001, GSVIVG01016431001, GSVIVG01024844001, GSVIVG01026841001, GSVIVG01034054001, GSVIVG01038461001
OG0000089	AT5G17680	GSVIVG01004867001, GSVIVG01004877001, GSVIVG01026003001, GSVIVG01026094001, GSVIVG01026099001, GSVIVG01036354001, GSVIVG01036400001, GSVIVG01036405001, GSVIVG01036408001
OG0000090	AT5G22300	GSVIVG01011519001, GSVIVG01022690001, GSVIVG01022699001, GSVIVG01022702001, GSVIVG01022705001, GSVIVG01022712001, GSVIVG01022714001, GSVIVG01022715001, GSVIVG01022723001
OG0000091	AT1G02000, AT2G45310, AT3G23820, AT4G00110, AT4G12250, AT4G30440	GSVIVG01004648001, GSVIVG01004919001, GSVIVG01018554001
OG0000092	AT1G04645, AT3G16970, AT4G24973, AT4G24974, AT4G24975	GSVIVG01014872001, GSVIVG01014873001, GSVIVG01014874001, GSVIVG01014884001
OG0000093	AT1G07400, AT1G53540, AT1G59860, AT2G29500, AT3G46230, AT5G59720	GSVIVG01016398001, GSVIVG01016403001, GSVIVG01016412001
OG0000094	AT1G12210, AT1G12220, AT1G12290, AT1G61180, AT1G61190, AT1G61300, AT1G61310, AT4G10780, AT5G63020	
OG0000095	AT1G33720, AT1G33730, AT2G45550, AT2G45560, AT2G45570, AT2G45580, AT3G61040	GSVIVG01013045001, GSVIVG01019909001
OG0000096	AT1G53940, AT1G53990, AT3G14225, AT5G40990	GSVIVG01016686001, GSVIVG01016687001, GSVIVG01016688001, GSVIVG01016689001, GSVIVG01016690001
OG0000097	AT1G63840, AT3G61460, AT4G00305, AT5G41400	GSVIVG01012015001, GSVIVG01012018001, GSVIVG01012019001, GSVIVG01012020001, GSVIVG01012022001
OG0000098	AT1G64900, AT1G64930, AT1G64940, AT1G64950, AT2G12190, AT3G03470, AT5G61320	GSVIVG01024274001, GSVIVG01024278001
OG0000099	AT1G66620, AT1G66630, AT1G66650, AT1G66660, AT5G37870, AT5G37890, AT5G37910, AT5G37930	GSVIVG01030893001
OG0000100	AT1G68040	GSVIVG01008380001, GSVIVG01008381001, GSVIVG01011637001, GSVIVG01011638001, GSVIVG01011639001, GSVIVG01011641001, GSVIVG01011642001, GSVIVG01021440001
OG0000101	AT1G69940, AT5G07410, AT5G07420, AT5G07430, AT5G61680	GSVIVG01013827001, GSVIVG01013832001, GSVIVG01013838001, GSVIVG01013839001
OG0000102	AT2G02240, AT2G02250, AT2G02320, AT2G02340, AT2G02360	GSVIVG01003897001, GSVIVG01003898001, GSVIVG01003904001, GSVIVG01003907001
OG0000103	AT2G02580, AT3G26290, AT3G26300, AT3G26310, AT3G26320, AT3G26330, AT5G57260	GSVIVG01024754001, GSVIVG01024756001
OG0000104	AT2G14580, AT2G14610, AT4G33720	GSVIVG01036997001, GSVIVG01037000001, GSVIVG01037005001, GSVIVG01037008001, GSVIVG01037011001, GSVIVG01038540001
OG0000105	AT2G24840, AT5G60440	GSVIVG01010218001, GSVIVG01010221001, GSVIVG01037022001, GSVIVG01037024001, GSVIVG01037026001, GSVIVG01037031001, GSVIVG01037034001
